base_design_id,city,design_id,energy_design_id,design_schema_version,room_type,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,aspect_ratio,orientation,orientation_deg,window_wall_ratio,shading_depth_m,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,energy_simulation_ready
base_0004,Istanbul,Istanbul_base_0004,cg2_istanbul_0004,classguard_v2_paired_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0004,Izmir,Izmir_base_0004,cg2_izmir_0004,classguard_v2_paired_1,classroom,6.6174,7.0734,3.0696,46.807367,143.681719,1.068903,N,0,0.25028,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Ankara,Ankara_base_0005,cg2_ankara_0005,classguard_v2_paired_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Antalya,Antalya_base_0005,cg2_antalya_0005,classguard_v2_paired_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Bursa,Bursa_base_0005,cg2_bursa_0005,classguard_v2_paired_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Erzurum,Erzurum_base_0005,cg2_erzurum_0005,classguard_v2_paired_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Istanbul,Istanbul_base_0005,cg2_istanbul_0005,classguard_v2_paired_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0005,Izmir,Izmir_base_0005,cg2_izmir_0005,classguard_v2_paired_1,classroom,8.0199,10.3644,3.0002,83.121966,249.386307,1.292338,W,270,0.20695,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0006,Ankara,Ankara_base_0006,cg2_ankara_0006,classguard_v2_paired_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0006,Antalya,Antalya_base_0006,cg2_antalya_0006,classguard_v2_paired_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0006,Bursa,Bursa_base_0006,cg2_bursa_0006,classguard_v2_paired_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0006,Erzurum,Erzurum_base_0006,cg2_erzurum_0006,classguard_v2_paired_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0006,Istanbul,Istanbul_base_0006,cg2_istanbul_0006,classguard_v2_paired_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0006,Izmir,Izmir_base_0006,cg2_izmir_0006,classguard_v2_paired_1,classroom,7.9167,8.3828,3.5454,66.364114,235.286722,1.058887,E,90,0.34781,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Ankara,Ankara_base_0007,cg2_ankara_0007,classguard_v2_paired_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Antalya,Antalya_base_0007,cg2_antalya_0007,classguard_v2_paired_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Bursa,Bursa_base_0007,cg2_bursa_0007,classguard_v2_paired_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Erzurum,Erzurum_base_0007,cg2_erzurum_0007,classguard_v2_paired_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Istanbul,Istanbul_base_0007,cg2_istanbul_0007,classguard_v2_paired_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0007,Izmir,Izmir_base_0007,cg2_izmir_0007,classguard_v2_paired_1,classroom,7.5179,8.6483,3.2975,65.017093,214.392896,1.150368,E,90,0.271,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0008,Ankara,Ankara_base_0008,cg2_ankara_0008,classguard_v2_paired_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0008,Antalya,Antalya_base_0008,cg2_antalya_0008,classguard_v2_paired_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0008,Bursa,Bursa_base_0008,cg2_bursa_0008,classguard_v2_paired_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0008,Erzurum,Erzurum_base_0008,cg2_erzurum_0008,classguard_v2_paired_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0008,Istanbul,Istanbul_base_0008,cg2_istanbul_0008,classguard_v2_paired_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0008,Izmir,Izmir_base_0008,cg2_izmir_0008,classguard_v2_paired_1,classroom,7.5154,7.4633,3.7345,56.089348,209.467188,0.993067,W,270,0.38204,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0009,Ankara,Ankara_base_0009,cg2_ankara_0009,classguard_v2_paired_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0009,Antalya,Antalya_base_0009,cg2_antalya_0009,classguard_v2_paired_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0009,Bursa,Bursa_base_0009,cg2_bursa_0009,classguard_v2_paired_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0009,Erzurum,Erzurum_base_0009,cg2_erzurum_0009,classguard_v2_paired_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0009,Istanbul,Istanbul_base_0009,cg2_istanbul_0009,classguard_v2_paired_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0009,Izmir,Izmir_base_0009,cg2_izmir_0009,classguard_v2_paired_1,classroom,7.7052,7.3345,3.6191,56.513198,204.525887,0.951892,W,270,0.24985,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0010,Ankara,Ankara_base_0010,cg2_ankara_0010,classguard_v2_paired_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0010,Antalya,Antalya_base_0010,cg2_antalya_0010,classguard_v2_paired_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0010,Bursa,Bursa_base_0010,cg2_bursa_0010,classguard_v2_paired_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0010,Erzurum,Erzurum_base_0010,cg2_erzurum_0010,classguard_v2_paired_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0010,Istanbul,Istanbul_base_0010,cg2_istanbul_0010,classguard_v2_paired_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0010,Izmir,Izmir_base_0010,cg2_izmir_0010,classguard_v2_paired_1,classroom,6.4784,9.4997,3.2802,61.543197,201.875599,1.466362,W,270,0.36276,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0011,Ankara,Ankara_base_0011,cg2_ankara_0011,classguard_v2_paired_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0011,Antalya,Antalya_base_0011,cg2_antalya_0011,classguard_v2_paired_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0011,Bursa,Bursa_base_0011,cg2_bursa_0011,classguard_v2_paired_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0011,Erzurum,Erzurum_base_0011,cg2_erzurum_0011,classguard_v2_paired_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0011,Istanbul,Istanbul_base_0011,cg2_istanbul_0011,classguard_v2_paired_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0011,Izmir,Izmir_base_0011,cg2_izmir_0011,classguard_v2_paired_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0012,Ankara,Ankara_base_0012,cg2_ankara_0012,classguard_v2_paired_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0012,Antalya,Antalya_base_0012,cg2_antalya_0012,classguard_v2_paired_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0012,Bursa,Bursa_base_0012,cg2_bursa_0012,classguard_v2_paired_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0012,Erzurum,Erzurum_base_0012,cg2_erzurum_0012,classguard_v2_paired_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0012,Istanbul,Istanbul_base_0012,cg2_istanbul_0012,classguard_v2_paired_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0012,Izmir,Izmir_base_0012,cg2_izmir_0012,classguard_v2_paired_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0013,Ankara,Ankara_base_0013,cg2_ankara_0013,classguard_v2_paired_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0013,Antalya,Antalya_base_0013,cg2_antalya_0013,classguard_v2_paired_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0013,Bursa,Bursa_base_0013,cg2_bursa_0013,classguard_v2_paired_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0013,Erzurum,Erzurum_base_0013,cg2_erzurum_0013,classguard_v2_paired_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0013,Istanbul,Istanbul_base_0013,cg2_istanbul_0013,classguard_v2_paired_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0013,Izmir,Izmir_base_0013,cg2_izmir_0013,classguard_v2_paired_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0014,Ankara,Ankara_base_0014,cg2_ankara_0014,classguard_v2_paired_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0014,Antalya,Antalya_base_0014,cg2_antalya_0014,classguard_v2_paired_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0014,Bursa,Bursa_base_0014,cg2_bursa_0014,classguard_v2_paired_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0014,Erzurum,Erzurum_base_0014,cg2_erzurum_0014,classguard_v2_paired_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0014,Istanbul,Istanbul_base_0014,cg2_istanbul_0014,classguard_v2_paired_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0014,Izmir,Izmir_base_0014,cg2_izmir_0014,classguard_v2_paired_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Ankara,Ankara_base_0015,cg2_ankara_0015,classguard_v2_paired_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Antalya,Antalya_base_0015,cg2_antalya_0015,classguard_v2_paired_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Bursa,Bursa_base_0015,cg2_bursa_0015,classguard_v2_paired_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Erzurum,Erzurum_base_0015,cg2_erzurum_0015,classguard_v2_paired_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Istanbul,Istanbul_base_0015,cg2_istanbul_0015,classguard_v2_paired_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Izmir,Izmir_base_0015,cg2_izmir_0015,classguard_v2_paired_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0016,Ankara,Ankara_base_0016,cg2_ankara_0016,classguard_v2_paired_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0016,Antalya,Antalya_base_0016,cg2_antalya_0016,classguard_v2_paired_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0016,Bursa,Bursa_base_0016,cg2_bursa_0016,classguard_v2_paired_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0016,Erzurum,Erzurum_base_0016,cg2_erzurum_0016,classguard_v2_paired_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0016,Istanbul,Istanbul_base_0016,cg2_istanbul_0016,classguard_v2_paired_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0016,Izmir,Izmir_base_0016,cg2_izmir_0016,classguard_v2_paired_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0017,Ankara,Ankara_base_0017,cg2_ankara_0017,classguard_v2_paired_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0017,Antalya,Antalya_base_0017,cg2_antalya_0017,classguard_v2_paired_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0017,Bursa,Bursa_base_0017,cg2_bursa_0017,classguard_v2_paired_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0017,Erzurum,Erzurum_base_0017,cg2_erzurum_0017,classguard_v2_paired_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0017,Istanbul,Istanbul_base_0017,cg2_istanbul_0017,classguard_v2_paired_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0017,Izmir,Izmir_base_0017,cg2_izmir_0017,classguard_v2_paired_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0018,Ankara,Ankara_base_0018,cg2_ankara_0018,classguard_v2_paired_1,classroom,8.313,8.2679,3.7513,68.731781,257.836647,0.994573,S,180,0.3752,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0018,Antalya,Antalya_base_0018,cg2_antalya_0018,classguard_v2_paired_1,classroom,8.313,8.2679,3.7513,68.731781,257.836647,0.994573,S,180,0.3752,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0018,Bursa,Bursa_base_0018,cg2_bursa_0018,classguard_v2_paired_1,classroom,8.313,8.2679,3.7513,68.731781,257.836647,0.994573,S,180,0.3752,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
