base_design_id,city,design_id,energy_design_id,design_schema_version,room_type,room_width_m,room_depth_m,room_height_m,floor_area_m2,volume_m3,aspect_ratio,orientation,orientation_deg,window_wall_ratio,shading_depth_m,glazing_type,wall_u_category,wall_u_value_w_m2k,roof_u_value_w_m2k,floor_u_value_w_m2k,glazing_u_value,shgc,vlt,energy_simulation_ready
base_0011,Hatay,Hatay_base_0011,ext_hatay_0011,classguard_v2_external_frozen_1,classroom,7.2514,8.8284,3.562,64.018443,228.031599,1.217467,E,90,0.33279,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0012,Hatay,Hatay_base_0012,ext_hatay_0012,classguard_v2_external_frozen_1,classroom,6.6555,7.865,3.1596,52.34537,165.391774,1.181718,W,270,0.37303,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0013,Hatay,Hatay_base_0013,ext_hatay_0013,classguard_v2_external_frozen_1,classroom,7.032,9.0109,3.1083,63.363965,196.955301,1.281416,S,180,0.30595,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0014,Hatay,Hatay_base_0014,ext_hatay_0014,classguard_v2_external_frozen_1,classroom,7.4934,10.0971,3.3906,75.661011,256.534041,1.347467,E,90,0.36051,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0015,Hatay,Hatay_base_0015,ext_hatay_0015,classguard_v2_external_frozen_1,classroom,6.9699,8.9499,3.5178,62.379822,219.438894,1.284067,E,90,0.29233,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0016,Hatay,Hatay_base_0016,ext_hatay_0016,classguard_v2_external_frozen_1,classroom,7.7648,8.5097,3.4319,66.075466,226.765209,1.095931,S,180,0.37987,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0017,Hatay,Hatay_base_0017,ext_hatay_0017,classguard_v2_external_frozen_1,classroom,6.7285,8.8487,3.3993,59.53826,202.387627,1.315117,W,270,0.35408,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0018,Hatay,Hatay_base_0018,ext_hatay_0018,classguard_v2_external_frozen_1,classroom,8.313,8.2679,3.7513,68.731781,257.836647,0.994573,S,180,0.3752,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0019,Hatay,Hatay_base_0019,ext_hatay_0019,classguard_v2_external_frozen_1,classroom,8.0783,9.7399,3.3721,78.682307,265.32336,1.205692,N,0,0.39278,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0020,Hatay,Hatay_base_0020,ext_hatay_0020,classguard_v2_external_frozen_1,classroom,6.1115,8.0994,3.4304,49.499722,169.80253,1.325265,N,0,0.37925,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0021,Hatay,Hatay_base_0021,ext_hatay_0021,classguard_v2_external_frozen_1,classroom,7.0227,7.3153,3.6669,51.373113,188.382179,1.041663,E,90,0.22127,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0022,Hatay,Hatay_base_0022,ext_hatay_0022,classguard_v2_external_frozen_1,classroom,7.1343,7.5214,3.5281,53.659959,189.315428,1.054267,E,90,0.21861,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0023,Hatay,Hatay_base_0023,ext_hatay_0023,classguard_v2_external_frozen_1,classroom,8.1493,7.346,3.4811,59.864449,208.397044,0.901427,W,270,0.22471,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0024,Hatay,Hatay_base_0024,ext_hatay_0024,classguard_v2_external_frozen_1,classroom,6.6587,9.9603,3.7327,66.322077,247.558683,1.495834,W,270,0.38972,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0025,Hatay,Hatay_base_0025,ext_hatay_0025,classguard_v2_external_frozen_1,classroom,6.8168,9.4847,3.48,64.655312,224.997567,1.391367,S,180,0.34217,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0026,Hatay,Hatay_base_0026,ext_hatay_0026,classguard_v2_external_frozen_1,classroom,6.1026,8.7299,3.2981,53.275328,175.709485,1.430505,N,0,0.27937,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0027,Hatay,Hatay_base_0027,ext_hatay_0027,classguard_v2_external_frozen_1,classroom,7.8737,9.2537,3.6478,72.860971,265.785231,1.175274,S,180,0.27213,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0028,Hatay,Hatay_base_0028,ext_hatay_0028,classguard_v2_external_frozen_1,classroom,6.5184,9.8365,3.6921,64.1185,236.732044,1.509024,W,270,0.30942,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0029,Hatay,Hatay_base_0029,ext_hatay_0029,classguard_v2_external_frozen_1,classroom,8.2497,9.8033,3.0331,80.874972,245.30244,1.188321,E,90,0.31239,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0030,Hatay,Hatay_base_0030,ext_hatay_0030,classguard_v2_external_frozen_1,classroom,6.6378,10.2822,3.7534,68.251477,256.172046,1.549029,W,270,0.38333,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0031,Hatay,Hatay_base_0031,ext_hatay_0031,classguard_v2_external_frozen_1,classroom,6.2263,8.8416,3.6197,55.050175,199.266537,1.420053,N,0,0.20238,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0032,Hatay,Hatay_base_0032,ext_hatay_0032,classguard_v2_external_frozen_1,classroom,7.4845,9.2338,3.6608,69.110136,253.001739,1.23372,S,180,0.41683,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0033,Hatay,Hatay_base_0033,ext_hatay_0033,classguard_v2_external_frozen_1,classroom,6.3959,7.0295,3.3096,44.959783,148.801129,1.099065,N,0,0.39532,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0034,Hatay,Hatay_base_0034,ext_hatay_0034,classguard_v2_external_frozen_1,classroom,8.3512,9.7716,3.072,81.604565,250.687858,1.170074,W,270,0.21678,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0035,Hatay,Hatay_base_0035,ext_hatay_0035,classguard_v2_external_frozen_1,classroom,7.9963,8.5827,3.6733,68.629324,252.09287,1.073333,S,180,0.44571,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0036,Hatay,Hatay_base_0036,ext_hatay_0036,classguard_v2_external_frozen_1,classroom,7.8626,10.2445,3.7981,80.548613,305.933369,1.302942,W,270,0.31766,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0037,Hatay,Hatay_base_0037,ext_hatay_0037,classguard_v2_external_frozen_1,classroom,6.8991,9.1246,3.3084,62.950908,208.264384,1.322577,W,270,0.33706,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0038,Hatay,Hatay_base_0038,ext_hatay_0038,classguard_v2_external_frozen_1,classroom,6.1575,8.8367,3.2195,54.412409,175.179877,1.435103,W,270,0.42368,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0039,Hatay,Hatay_base_0039,ext_hatay_0039,classguard_v2_external_frozen_1,classroom,6.242,7.9939,3.0497,49.897605,152.175095,1.280664,N,0,0.34414,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0040,Hatay,Hatay_base_0040,ext_hatay_0040,classguard_v2_external_frozen_1,classroom,7.2332,9.1092,3.7394,65.888967,246.384253,1.259354,N,0,0.41536,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0041,Hatay,Hatay_base_0041,ext_hatay_0041,classguard_v2_external_frozen_1,classroom,8.1365,8.8377,3.1732,71.908439,228.18265,1.086175,W,270,0.44145,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0042,Hatay,Hatay_base_0042,ext_hatay_0042,classguard_v2_external_frozen_1,classroom,7.4611,8.2352,3.0822,61.443827,189.383913,1.103743,N,0,0.29692,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0043,Hatay,Hatay_base_0043,ext_hatay_0043,classguard_v2_external_frozen_1,classroom,8.0878,7.0491,3.1459,57.012208,179.352333,0.871574,N,0,0.39081,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0044,Hatay,Hatay_base_0044,ext_hatay_0044,classguard_v2_external_frozen_1,classroom,7.2028,10.1911,3.3882,73.404326,248.708916,1.414896,S,180,0.33984,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0045,Hatay,Hatay_base_0045,ext_hatay_0045,classguard_v2_external_frozen_1,classroom,6.7941,10.377,3.1266,70.501921,220.429109,1.52736,S,180,0.33887,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0046,Hatay,Hatay_base_0046,ext_hatay_0046,classguard_v2_external_frozen_1,classroom,6.4228,9.66,3.1438,62.04449,195.05432,1.50402,S,180,0.39854,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0047,Hatay,Hatay_base_0047,ext_hatay_0047,classguard_v2_external_frozen_1,classroom,6.5576,7.7934,3.0277,51.106219,154.734597,1.188463,E,90,0.42766,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0048,Hatay,Hatay_base_0048,ext_hatay_0048,classguard_v2_external_frozen_1,classroom,8.0967,7.0926,3.0876,57.426436,177.308871,0.875994,W,270,0.27361,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0049,Hatay,Hatay_base_0049,ext_hatay_0049,classguard_v2_external_frozen_1,classroom,7.675,9.9183,3.3878,76.123177,257.893517,1.292292,E,90,0.37175,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0050,Hatay,Hatay_base_0050,ext_hatay_0050,classguard_v2_external_frozen_1,classroom,6.9891,7.2669,3.7528,50.788547,190.597912,1.039747,N,0,0.32254,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0051,Hatay,Hatay_base_0051,ext_hatay_0051,classguard_v2_external_frozen_1,classroom,8.4612,9.7908,3.3781,82.842023,279.845992,1.157143,E,90,0.41169,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0052,Hatay,Hatay_base_0052,ext_hatay_0052,classguard_v2_external_frozen_1,classroom,7.4087,9.1882,3.6035,68.072579,245.296363,1.240194,W,270,0.43112,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0053,Hatay,Hatay_base_0053,ext_hatay_0053,classguard_v2_external_frozen_1,classroom,7.2949,10.3419,3.09,75.442794,233.119914,1.417682,N,0,0.34809,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0054,Hatay,Hatay_base_0054,ext_hatay_0054,classguard_v2_external_frozen_1,classroom,8.24,10.1823,3.6642,83.901735,307.430491,1.235714,S,180,0.20013,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0055,Hatay,Hatay_base_0055,ext_hatay_0055,classguard_v2_external_frozen_1,classroom,8.1871,7.7086,3.727,63.110784,235.216594,0.941561,W,270,0.26125,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0056,Hatay,Hatay_base_0056,ext_hatay_0056,classguard_v2_external_frozen_1,classroom,6.7266,7.4297,3.5515,49.976675,177.492391,1.104522,N,0,0.32464,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0057,Hatay,Hatay_base_0057,ext_hatay_0057,classguard_v2_external_frozen_1,classroom,8.0857,8.4178,3.7363,68.063951,254.307426,1.041071,W,270,0.44192,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0058,Hatay,Hatay_base_0058,ext_hatay_0058,classguard_v2_external_frozen_1,classroom,8.3853,10.4406,3.7628,87.547875,329.423721,1.245115,N,0,0.43307,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0059,Hatay,Hatay_base_0059,ext_hatay_0059,classguard_v2_external_frozen_1,classroom,6.1957,9.5168,3.0189,58.962896,178.001289,1.536042,N,0,0.3451,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0060,Hatay,Hatay_base_0060,ext_hatay_0060,classguard_v2_external_frozen_1,classroom,7.8563,8.9178,3.0146,70.061655,211.207375,1.135113,S,180,0.20754,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0061,Hatay,Hatay_base_0061,ext_hatay_0061,classguard_v2_external_frozen_1,classroom,8.1557,7.5366,3.039,61.466026,186.792902,0.924096,S,180,0.43669,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0062,Hatay,Hatay_base_0062,ext_hatay_0062,classguard_v2_external_frozen_1,classroom,7.1407,9.9876,3.3174,71.318353,236.592505,1.398687,E,90,0.40276,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0063,Hatay,Hatay_base_0063,ext_hatay_0063,classguard_v2_external_frozen_1,classroom,7.2131,9.4046,3.3712,67.835768,228.68559,1.303826,E,90,0.21883,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0064,Hatay,Hatay_base_0064,ext_hatay_0064,classguard_v2_external_frozen_1,classroom,6.8606,7.6595,3.5111,52.548979,184.503138,1.116444,S,180,0.3225,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0065,Hatay,Hatay_base_0065,ext_hatay_0065,classguard_v2_external_frozen_1,classroom,6.6661,7.5615,3.212,50.405486,161.902079,1.13432,W,270,0.30344,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0066,Hatay,Hatay_base_0066,ext_hatay_0066,classguard_v2_external_frozen_1,classroom,6.8658,10.2748,3.5689,70.545233,251.766667,1.496521,E,90,0.34891,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0067,Hatay,Hatay_base_0067,ext_hatay_0067,classguard_v2_external_frozen_1,classroom,7.0489,8.0049,3.3755,56.425201,190.464011,1.135623,N,0,0.41553,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0068,Hatay,Hatay_base_0068,ext_hatay_0068,classguard_v2_external_frozen_1,classroom,6.4467,9.934,3.5313,64.041139,226.147348,1.540949,N,0,0.27194,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0069,Hatay,Hatay_base_0069,ext_hatay_0069,classguard_v2_external_frozen_1,classroom,7.2124,7.0051,3.2024,50.523598,161.798273,0.971271,S,180,0.29409,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0070,Hatay,Hatay_base_0070,ext_hatay_0070,classguard_v2_external_frozen_1,classroom,7.3302,8.164,3.6222,59.843474,216.767123,1.113748,S,180,0.32788,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0071,Hatay,Hatay_base_0071,ext_hatay_0071,classguard_v2_external_frozen_1,classroom,6.6123,8.0775,3.366,53.411346,179.78307,1.221582,S,180,0.36077,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0072,Hatay,Hatay_base_0072,ext_hatay_0072,classguard_v2_external_frozen_1,classroom,8.4187,7.0836,3.2065,59.634869,191.220657,0.841409,S,180,0.31924,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0073,Hatay,Hatay_base_0073,ext_hatay_0073,classguard_v2_external_frozen_1,classroom,6.5635,7.9163,3.3119,51.958528,172.081827,1.206097,N,0,0.24941,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0074,Hatay,Hatay_base_0074,ext_hatay_0074,classguard_v2_external_frozen_1,classroom,6.133,8.9117,3.3826,54.655165,184.877687,1.453078,E,90,0.23326,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0075,Hatay,Hatay_base_0075,ext_hatay_0075,classguard_v2_external_frozen_1,classroom,6.2928,9.7748,3.254,61.510167,200.154435,1.553334,N,0,0.32894,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0076,Hatay,Hatay_base_0076,ext_hatay_0076,classguard_v2_external_frozen_1,classroom,7.5446,8.3019,3.7078,62.634648,232.235006,1.100382,S,180,0.40228,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0077,Hatay,Hatay_base_0077,ext_hatay_0077,classguard_v2_external_frozen_1,classroom,6.76,7.6863,3.4677,51.959751,180.18184,1.137025,S,180,0.3238,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0078,Hatay,Hatay_base_0078,ext_hatay_0078,classguard_v2_external_frozen_1,classroom,6.8008,7.3192,3.617,49.776102,180.041672,1.076221,W,270,0.23088,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0079,Hatay,Hatay_base_0079,ext_hatay_0079,classguard_v2_external_frozen_1,classroom,8.1016,7.2528,3.3403,58.759114,196.274801,0.895221,W,270,0.26878,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0080,Hatay,Hatay_base_0080,ext_hatay_0080,classguard_v2_external_frozen_1,classroom,7.1925,8.8185,3.4096,63.42697,216.259211,1.226064,S,180,0.2351,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0081,Hatay,Hatay_base_0081,ext_hatay_0081,classguard_v2_external_frozen_1,classroom,8.2959,7.5518,3.3847,62.648391,212.044506,0.910305,S,180,0.39166,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0082,Hatay,Hatay_base_0082,ext_hatay_0082,classguard_v2_external_frozen_1,classroom,6.6626,9.8981,3.5247,65.947572,232.448297,1.485612,E,90,0.40424,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0083,Hatay,Hatay_base_0083,ext_hatay_0083,classguard_v2_external_frozen_1,classroom,6.3298,9.327,3.2321,59.038215,190.818263,1.473518,W,270,0.36155,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0084,Hatay,Hatay_base_0084,ext_hatay_0084,classguard_v2_external_frozen_1,classroom,6.18,8.9069,3.7655,55.044817,207.269075,1.441229,W,270,0.3314,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0085,Hatay,Hatay_base_0085,ext_hatay_0085,classguard_v2_external_frozen_1,classroom,7.0164,9.3861,3.3532,65.85677,220.834163,1.337736,E,90,0.41723,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0086,Hatay,Hatay_base_0086,ext_hatay_0086,classguard_v2_external_frozen_1,classroom,7.7467,9.3179,3.0377,72.183029,219.271921,1.20282,S,180,0.21037,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0087,Hatay,Hatay_base_0087,ext_hatay_0087,classguard_v2_external_frozen_1,classroom,8.0596,8.7195,3.1027,70.275857,218.043637,1.081874,N,0,0.39047,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0088,Hatay,Hatay_base_0088,ext_hatay_0088,classguard_v2_external_frozen_1,classroom,7.2416,10.0867,3.6678,73.043565,267.910314,1.39288,N,0,0.21176,0.0,clear_double,high_insulation,0.3,0.2,0.3,2.8,0.7,0.78,1
base_0089,Hatay,Hatay_base_0089,ext_hatay_0089,classguard_v2_external_frozen_1,classroom,6.6884,8.1299,3.0647,54.376391,166.645573,1.215528,E,90,0.37613,0.0,high_performance_double,high_insulation,0.3,0.2,0.3,1.2,0.4,0.62,1
base_0090,Hatay,Hatay_base_0090,ext_hatay_0090,classguard_v2_external_frozen_1,classroom,7.2373,10.2618,3.1945,74.267778,237.249542,1.4179,S,180,0.43009,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0091,Hatay,Hatay_base_0091,ext_hatay_0091,classguard_v2_external_frozen_1,classroom,7.2175,7.3748,3.4375,53.22802,182.970147,1.021788,E,90,0.38563,0.0,clear_double,medium_insulation,0.5,0.35,0.45,2.8,0.7,0.78,1
base_0092,Hatay,Hatay_base_0092,ext_hatay_0092,classguard_v2_external_frozen_1,classroom,8.4165,7.2349,3.4135,60.892225,207.853305,0.859605,E,90,0.35556,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0093,Hatay,Hatay_base_0093,ext_hatay_0093,classguard_v2_external_frozen_1,classroom,7.4248,8.6949,3.3594,64.557844,216.878125,1.171064,N,0,0.32304,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0094,Hatay,Hatay_base_0094,ext_hatay_0094,classguard_v2_external_frozen_1,classroom,7.0694,7.6298,3.3136,53.937884,178.730748,1.079278,N,0,0.4427,0.0,high_performance_double,low_insulation,0.8,0.6,0.7,1.2,0.4,0.62,1
base_0095,Hatay,Hatay_base_0095,ext_hatay_0095,classguard_v2_external_frozen_1,classroom,6.4171,7.0592,3.2421,45.299762,146.866369,1.100048,E,90,0.24485,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0096,Hatay,Hatay_base_0096,ext_hatay_0096,classguard_v2_external_frozen_1,classroom,7.5088,8.4059,3.5651,63.11778,225.020034,1.119477,E,90,0.4409,0.0,clear_double,low_insulation,0.8,0.6,0.7,2.8,0.7,0.78,1
base_0097,Hatay,Hatay_base_0097,ext_hatay_0097,classguard_v2_external_frozen_1,classroom,7.4952,9.3367,3.5353,69.980634,247.401114,1.245678,E,90,0.23535,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0098,Hatay,Hatay_base_0098,ext_hatay_0098,classguard_v2_external_frozen_1,classroom,7.7396,8.9343,3.3738,69.148041,233.293839,1.154369,W,270,0.27284,0.0,low_e_double,high_insulation,0.3,0.2,0.3,1.6,0.55,0.7,1
base_0099,Hatay,Hatay_base_0099,ext_hatay_0099,classguard_v2_external_frozen_1,classroom,8.3618,7.1674,3.2637,59.93243,195.603416,0.857155,S,180,0.41357,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0100,Hatay,Hatay_base_0100,ext_hatay_0100,classguard_v2_external_frozen_1,classroom,8.4814,8.3437,3.477,70.766556,246.053805,0.983769,S,180,0.27574,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
base_0101,Hatay,Hatay_base_0101,ext_hatay_0101,classguard_v2_external_frozen_1,classroom,6.6792,8.5599,3.1431,57.172633,179.699258,1.281576,W,270,0.29298,0.0,low_e_double,low_insulation,0.8,0.6,0.7,1.6,0.55,0.7,1
base_0102,Hatay,Hatay_base_0102,ext_hatay_0102,classguard_v2_external_frozen_1,classroom,7.7231,7.3277,3.0454,56.592427,172.344246,0.9488,E,90,0.30355,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0103,Hatay,Hatay_base_0103,ext_hatay_0103,classguard_v2_external_frozen_1,classroom,6.7705,7.9106,3.7017,53.559248,198.258116,1.16839,W,270,0.2496,0.0,low_e_double,medium_insulation,0.5,0.35,0.45,1.6,0.55,0.7,1
base_0104,Hatay,Hatay_base_0104,ext_hatay_0104,classguard_v2_external_frozen_1,classroom,7.0618,7.9713,3.4804,56.291537,195.914453,1.128783,E,90,0.22996,0.0,high_performance_double,medium_insulation,0.5,0.35,0.45,1.2,0.4,0.62,1
